"","id","书名","评论数","作者","出版时间","出版社","折扣价","原价","折扣","分类","简介","year"
"139",139,"西尔斯怀孕百科",97418,"(美)西尔斯　等编著，子怡　译","2009-03-01","南海出版社","￥27.60","￥29.80","9.3折","孕产/胎教","2、西尔斯博士是美国**影响力的育儿权威，被誉为后斯波克时代的“育儿之父”，他与妻子合著的《西尔斯育儿百科》出版近二十年来一直畅销不衰，至今仍是美国*畅销、*受欢迎的育儿百科。他们开创的“亲密育儿法”，提倡通过母乳喂养、与孩子同睡、把孩子背在身上、注意孩子的哭声等措施，使父母与幼儿及早建立亲密联系，让孩子在充满关爱的环境里长大。,西尔斯博士夫妇与美国著名妇产科专家琳达?休伊?霍尔特合著的《西尔斯怀孕百科》，是《西尔斯育儿百科》姊妹篇，出版后备受读者喜爱，迅速登上美国各大畅销书排行榜，至今仍是美国*受读者欢",2012
"140",140,"滚蛋吧，肿瘤君 独家签章版（感动亿万网友的神奇漫画，天涯终身置...",52636,"熊顿 著","2012-09-01","北京理工大学出版社","￥14.90","￥29.80","5.0折","动漫/幽默","吴彦祖、白百何主演同名电影原著。,姚晨、陈坤、马伯庸鼎力推荐！,当当版本独家收录熊顿未发表手绘作品和签章！,80后美女漫画家熊顿励志新作，首次披露患淋巴癌后的起居住行。感动百万网友的乐观精神，笑中带泪的阅读体验。,如果你觉得命运充满不公，那是否知道她正用幽默的自嘲面对死亡？,如果你觉得天空只有黑夜，也许她的乐观将带你奔赴期待已久的阳光。,一场“无厘头”的抗癌史，一股能在痛楚里看见希望的正能量，一本能治愈所有伤怀的神奇漫画。,真正的正能量，久违的治愈系。,亲们，我愿用微笑对你，赶走这个世界的阴霾！",2012
"141",141,"宝宝学说话系列 第1辑 语言启蒙（全5册）",91988,"真果果 著","2011-09-01","中国人口出版社","￥22.50","￥45.00","5.0折","童书","·有趣的《认知翻翻书》，试一试？,·真果果《动作游戏》很好看，点一点？,·《成长启蒙》让宝宝大声喊出“我长大啦！”试试看？",2012
"142",142,"全球通史:从史前史到21世纪（第7版修订版上下册，当当独家赠送全...",113574,"(美)斯塔夫里阿诺斯 著，吴象婴 等译","2006-10-01","北京大学出版社","￥72.00","￥96.00","7.5折","历史","　　斯塔夫里阿诺斯的这部潜心力作——《全球通史:从史前史到21世纪(第7版修订版)(中文版)(上下册)》自1970年初版问世以来，赞誉如潮，被译成多种语言流传于世，可谓经典之中的经典。第7版在保留原文精华的基础上，融入了时新的研究成果。新增了数百幅生动珍贵的图片和脉络清晰的地图，使这部名著在内容和体系上更加完善。作者文笔隽永，笔力深厚，才思横溢，整部著作风格前后一贯，令您在颇具历史韵律的行文中思接千载、视通万里。,另有精装珍藏版，购买链接,全球**中文译本！中国畅销200万册的《全球通史》**推出：适合青",2012
"143",143,"致我们终将逝去的青春（赵薇导演处女作原著小说，辛夷坞最新签约...",38887,"辛夷坞 著","2011-07-13","朝华出版社","￥22.40","￥29.80","7.5折","青春文学","《致我们终将逝去的青春》是当下*炙手可热的80后女作家辛夷坞的“后青春时代”**胆情感力作，是《浮世浮城》的全新面世！该小说连续81周领衔当当网图书畅销榜，连续两年青春类小说****，迄今销量突破60万。*值得一提的是，本书独家提供番外。,★推荐：辛夷坞暖伤青春作品全集（全新修订版，全国独家新增6篇新番外，超值收藏）",2012
"144",144,"何以笙箫默 顾漫 七周年精装珍藏版",168483,"顾漫　著","2011-01-01","沈阳出版社","￥14.70","￥25.00","5.9折","青春文学","　　顾漫的《何以笙箫默》征服了千万粉丝，见证了她们的青春成长，成就了无数少女的校园王子梦。这个冬季，暮然回首，与之再次相遇，《何以》以更加温馨的面貌出现。近万字的番外、4张精美明信片、浪漫唯美的随书海报是对读者7年来的真心回馈，当然，小宝宝河照是乌龟漫送给大家**的惊喜。,更多推荐,骄阳似我(上)，七年连载，千万粉丝捧心期待。**不可错过的经典珍藏。,《相逢如初见，回首是一生》（预定可得当当独家限量签名本，随书独家附赠超精美白落梅经典作品集明信片1套,）,★,倾情推荐：,谁与为偶至死不渝（全2册）（《独步",2012
"145",145,"四周练出一身肌肉",37072,"(美)坎贝尔　著，章晋唯　译","2012-10-01","浙江科学技术出版社","￥40.70","￥68.00","6.0折","保健/养生","　　,（一）本书看点,　　◆,雕塑MAN力，这本书给你全新的身体！,　　◆,全球*棒的4周饮食和重训计划，30天甩掉4.5公斤脂肪！,　　◆,介绍619种**有效的练肌肉方法，每种动作均搭配清楚图示与详尽说明！,　　◆,全美畅销书，雄踞亚马逊书店畅销榜长达一年半！,　　◆,甚至不用器材，在办公室就能做！,　　◆,全彩印刷，健身指导教练、美国医学学会体育训练员、一般健身读者一致口碑推荐！,　　◆,审订者：台湾中正大学运动竞技学系系主任,王顺正,　　（二）,专家强力推荐,　　◆,希望基金会董事长、中国台湾健美",2012
"146",146,"做最好的自己——歪歪兔性格教育系列图画书（全10册）",112006,"歪歪兔关键期早教项目组(陈梦敏文) 编绘","2012-06-01","海豚出版社","￥47.20","￥80.00","5.9折","童书","　　2-6岁儿童成长关键的10个性格培养主题，性格形成关键期的关键读物。6岁前，人一生的基本性格就已形成。,　　冰心文学奖、信谊图画书奖、台湾儿童文学牧笛奖获得者，同时也是一个7岁孩子母亲的新锐儿童文学作家陈梦敏倾情力作。,　　全书画风清新，人物生动，色彩鲜艳。,　　丛书选题和表现形式体现了关键期教育的核心理念，在流畅、精彩的故事中不经意地融汇其中，你几乎觉察不到。,　　故事保持了作者一贯风格，在风趣的铺叙中，结尾“欧?亨利式”的突然转折，让感情骤然升华，极具文学性。除了适合亲子阅读，也适合幼儿园班级和绘",2012
"147",147,"干法（稻盛和夫重磅作品。他是唯一健在的经营四圣，他的《活法》...",40327,"(日)稻盛和夫　著，曹岫云　译","2010-05-01","华文出版社","￥24.40","￥36.00","6.8折","管理","旧版售完即不再加印，欢迎选用新版：干法,　　有些话，让稻盛和夫替你对员工说,　　日本首相鸠山亲笔赞誉，迄今为止**、销量**的著作,　　写给每一位职场人的工作真谛,　　日本09年出版，不到一年再版19次，狂卖20万册:,　　1．手握3个世界500强的日本经营之圣稻盛和夫迄今为止**、*热销的著作。,　　2．创下日本一年内再版19次，狂卖20万册的白金纪录，2010年**团购潜力的大作！,　　3．在这浮躁的社会，让我们沉淀灵魂，感悟这位叱咤商界70,余年的长者写给每位职场人的工作真谛。,　　4．一本老板和员",2012
"148",148,"莫言作品系列--生死疲劳（新版）（2012年度诺贝尔文学奖获得者，...",9811,"莫言　著","2012-10-01","上海文艺出版社","￥33.80","￥45.00","7.5折","小说","　　2012年诺贝尔文学奖授奖词：,　,　　·莫言是个诗人，他扯下程式化的宣传画，使个人从茫茫无名大众中突出出来。他用嘲笑和讽刺的笔触，攻击历史和谬误以及贫乏和政治虚伪。他有技巧的揭露了人类*阴暗的页面，在不经意间给象征赋予了形象。,　　·莫言有着无与伦比的想象力。他很好的描绘了自然；他基本知晓所有与饥饿相关的事情；他向我们展示了一个没有真理、常识或者同情的世界，这个世界中的人鲁莽、无助且可笑。,　　·莫言的故事有着神秘和寓意，让所有的价值观得到体现。莫言的人物充满活力，他们甚至用不道德的办法和手段实现他",2012
"149",149,"《小小牛顿幼儿馆》（第1辑，共6册）",52091,"本社 编","2014-01-12","贵州教育出版社","￥70.80","￥120.00","5.9折","童书","　体验自然，探索世界，关爱生命——科普百科馆>>,华语世界**影响力的原创儿童科普读物,?,荣获26项儿童优秀读物出版奖，并荣获台湾**出版奖——金鼎奖,?,台湾新闻局推荐优良儿童读物,?,2000万人口的台湾，1500万册的天量销售！,?,台湾“牛顿科普家族”继《小牛顿科学馆》之后又一幼儿科普力作！,?,每辑《小小牛顿幼儿馆》皆由六本主题书、六本智慧游戏本（主题书和游戏本正反合装）、一张CD,和一本亲子手册构成。,专为学龄前儿童设计，孩子*理想的启蒙老师,助家长把握启蒙良机，让孩子快乐又聪明",2012
"150",150,"感动千万人的童话物语",32801,"徐瀚　编绘","2010-12-01","北方妇女儿童出版社","￥30.30","￥35.80","8.5折","动漫/幽默","《阿狸?永远站》是阿狸之父Hans&文治图书历时一年精心策划、纯手工绘制的首部长篇童话绘本。逐步形成阿狸系列成人绘本品牌，延续疗伤治愈、温暖人心之风格。作者徐瀚常以细密的笔触透露淡淡的疏离感被大众所喜爱。在他的作品里表示了物质丰富弥补不了精神匮乏，只有爱才是*终的归宿，永不停止的温暖和童年。,　　此次文治图书重磅打造“阿狸巴士号”，准时在圣诞夜首发，即将开始一场全城寻找阿狸红色巴士车的寻爱之旅。,推荐购买：,爸爸的木朵（“我有一个女儿，我一定好好爱她。”这不是煽情，只是一个父亲的心情。当当独家定制，随机赠",2012
"151",151,"爷爷一定有办法",39979,"(加)吉尔曼　文图；宋珮　译","2008-07-01","明天出版社","￥25.90","￥28.80","9.0折","","",2012
"152",152,"沃顿商学院最受欢迎的谈判课",50887,"(美)戴蒙德　著，杨晓红，李升炜，王蕾　译","2012-08-01","中信出版社","￥51.70","￥69.00","7.5折","管理","　　上完这一课，全世界都会听你的！,相关书推荐：：【商学院课程系列】《哈佛商学院*受欢迎的领导课》重磅推出>>",2012
"153",153,"当下的力量（新版）",29668,"(德)托利　著，曹植　译","2009-01-01","中信出版社","￥26.00","￥26.00","10.0折","成功/励志","《纽约时报》畅销书排行榜**名，被翻译成30多种文字，畅销全球200多万册。心理咨询师、台湾畅销书作家、原知名电视主播张德芬小姐撰文推荐！,　　那些没有找到真正财富——存在的欢乐以及与它紧密联系在一起的深深的不可动摇的宁静——的人就是故事中的那个乞丐，即便已经拥有很多财富，但他们依然在四处找寻。他们不知道，自己不仅已经拥有了所有这些，还拥有了更为珍贵的东西，那就是——当下的力量。阅读本书的过程是一个发现之旅。在作者这位心灵导师的引导下，你会惊讶地发现，自己一直都处在大脑或思维的控制之下，生活在对时间的永恒",2012
"154",154,"曾国藩家书（曾文正公家书786封，附赠《曾国藩家训》121篇）",33115,"(清)曾国藩 著,(清)李瀚章 编撰,(清)李鸿章 校刊","2011-09-01","中国书店出版社","￥29.00","￥58.00","5.0折","古籍","★《曾国藩家书》为什么要读传忠书局版？,传忠书局版《曾国藩家书》是目前公认的权威版本，是在曾国藩学生李鸿章、李瀚章主持下由曾国藩生前的贴身幕僚编选的。他们长期追随曾国藩左右，对其一生行谊行迹有切身感受和体会。也正由于这种切身感受和体会，使他们能够在纷繁的书信中，精拣786封编订成书，充分勾勒曾国藩的修身齐家之术、经世治民之略。,★传忠书局版《曾国藩家书》为什么只精拣786封书信？,编辑《曾国藩家书》时供选取的书信多达数千封，而为什么*终入选的只有786封？曾国藩学生李鸿章、李瀚章和曾生前的贴身幕僚，首先筛",2012
"155",155,"于丹论语心得(易中天作序强力推荐)",46826,"于丹 著","2006-11-01","中华书局","￥15.00","￥20.00","7.5折","哲学/宗教","　　百家讲坛，坛坛都是好酒！于丹《论语》心得。,　　《论语》的真谛，就是告诉大家，怎么才能过上我们心灵所需要的那种快乐的生活。,　　★2006年CCTV《百家讲坛》*红文化明星于丹力作,　　★易中天作序强力推荐,　　本书以中央电视台“百家讲坛”栏目同名电视讲座为基础，加以修改润色而成。全书为双色印刷，并以著名画家陈传席画作为彩色插页。,　　其**特点是，直指当今社会生活和人们的心灵，通过诠释经典中的智慧，找到解决当代人生存和心灵问题的钥匙。从人生之道、处世之道、理想之道、交友之道、心灵之道等七个方面总结《",2012
"156",156,"I SPY视觉大发现（第一辑，共8册)",95782,"(美)维克 图，(美)玛佐洛 文，代冬梅 译","2007-09-01","接力出版社","￥69.60","￥102.40","6.8折","童书","风靡世界的I,SPY,视觉大发现登陆中国！,视觉的发现之旅,观察的极限挑战,　　●,风靡世界的I,SPY系列图书登陆中国！,　　●,畅销二十年的全球视觉益智游戏**之作。,　　●,累计销量突破2000万册！,　　●,随书附赠限量版精美挂图式海报（数量有限，先到先得，送完为止）,　　●,让你突破心理定势，驾驭丰富联想，躲避视觉圈套，享受成功喜悦！,本书的宝藏可自设：你和家人可以按照书中既定的问题来进行常规阅读，也可以随机根据画面内容和难易程度自己设计一些探寻和发现的目标。您可以为搜寻项目记时：即用更短的时间",2012
"157",157,"田英章钢笔字帖畅销套装:楷书7000常用字+唐诗三百首+宋词三百首(...",88923,"田英章　书","2011-03-01","上海交通大学出版社","￥15.00","￥30.00","5.0折","艺术","连续3年雄踞当当艺术书法畅销榜第1名！,范字精妙：国学级书法大师田英章先生60余年临池成果精彩呈现，白话文覆盖率达到99.99%，完全满足日常工作、生活、学习所需。,品味经典：精选优美唐诗、宋词，让读者重温国学经典的精髓所在，找回心灵深处的宁静之美。,特制临摹纸：纸质细腻，透光度高，吸墨性强，不浸墨不反光，有效保护视力，写出的字线条流畅、稳健。,特别推荐：华夏万卷,田英章硬笔书法楷书入门教程钢笔字帖:笔画偏旁+间架结构+速成(套装共3册)(附赠米字格),特别推荐：华夏万卷,田英章硬笔书法行书入门教程钢笔字",2012
"158",158,"三杯茶（一本令全世界为之动容的书）",61634,"(美)摩顿森，(美)瑞林 著，黄玉华 译，严冬冬 校译","2009-01-01","吉林文史出版社","￥16.70","￥28.00","6.0折","小说","对很少知道中亚生活的人们来说，这是扣人心弦的**手报道。,——《华盛顿时报》,《三杯茶》就是那个有关承诺的故事。我在波士顿哈佛广场的旅游书局无意间被这本书吸引，一读之下，当场泪流满面……,一个人，一个承诺，一段辛苦漫长的旅程，许许多多人的爱心，一个美丽的承诺，终于实践。故事的后来，的确是美好结局：在过去的十几年内，摩顿森总共在巴基斯坦、阿富汗及喜马拉雅山区，盖了不止一所，而是六十余所学校，特别是能让女孩子上学的学校。如果您也被这个承诺故事感动，请将这本书推荐给您的学校、图书馆、朋友吧!,——黄玉华,《三杯",2012
"159",159,"小王子（畅销珍藏本）（全球发行量超过五亿册，写给孩子，也写给...",21329,"(法)埃克苏佩里 著，田伟华 译","2011-06-01","中国三峡出版社","￥16.60","￥26.00","6.4折","","",2012
"160",160,"东野圭吾：白夜行",27392,"(日)东野圭吾 著，刘姿君 译","2008-09-01","南海出版社","￥20.60","￥29.80","6.9折","小说","日本**畅销书作家，文坛天王东野圭吾里程碑力作。,日本亚马逊、纪伊国屋、三省堂畅销排行第1名，韩国阿拉丁、YES24、教保文库畅销排行第1名。同名日剧创造日本2007年度收视率纪录。,绝望的念想，非恸的守望！,“我的天空里没有太阳，总是黑夜，但并不暗，因为有东西代替了太阳。虽然没有太阳那么明亮，但对我来说已经足够。凭借着这份光，我便能把黑夜当成白天。我从来就没有太阳，所以不怕失去。”,“只希望能手牵手在太阳下散步”，这个象征故事内核的绝望念想，有如一个美丽的幌子，随着无数凌乱、压抑、悲凉的故事片段像纪录片",2012
"161",161,"小兔汤姆系列（第二辑）（全十册 ）",57305,"(法)克斯多夫·勒·马斯尼，等","2008-05-01","海燕出版社","￥58.70","￥85.00","6.9折","童书","不一样的故事，一样的感动——平装图画书馆>>",2012
"162",162,"我的野生动物朋友——风靡世界的奇人奇书",29305,"(法)蒂皮·德格雷 著，黄天源 译","2002-06-01","云南教育出版社","￥17.60","￥29.00","6.1折","童书","　体验自然，探索世界，关爱生命——科普百科馆>>,法国小女孩蒂皮，1990年出生于非洲纳米比亚。她从小跟拍摄野生动物的父母在丛林长大，与野象相亲，同鸵鸟共舞，变色龙、牛蛙、豹子、狮子、狒狒……一个个给她带来奇趣、欢乐、惊险、幻想，以至皮肉之苦，*终都成为她*好的朋友。,本书是小蒂皮10岁回到巴黎后所写的她与非洲各种野生动物生活在一起的动人故事和亲身感受，同时编入她父母——著名野生动物摄影师现场拍下的130多幅极为难得的图片，不仅可亲可赏，而且能唤起人们保护自然保护野生动物的意识。出版后立即在小读者中风行，",2012
"163",163,"数学游戏绘本·第一辑（8册）",36469,"(日)中野弘隆　著/绘，崔晶、崔荔函、宁烨 译","2011-07-01","新蕾出版社","￥63.70","￥108.00","5.9折","童书","　　《数学游戏绘本》引自日本知名的儿童出版社，此系列丛书自出版以来，好评不断，畅销日本十余年，其中有的书籍被评为日本图书馆协会选定图书、日本童书研究会选定图书、日本学校图书馆协议会选定图书。,　　此系列主打数学游戏，并以此为背景贯穿于故事当中，寓教于乐。让孩子在玩的过程中对数学有一个初步的认知。故事情节丰富，色彩明快深受孩子喜爱。,　　此系列图书文字量适中，故事浅显易懂，采用通栏是大图，不仅可以激发孩子们的阅读趣味，还可以帮助他们奠定数学思维和学习能力。此外，每本图书还附有北大知名数学教授针对该书的点评，",2012
"164",164,"后宫·甄嬛传（修订典藏套装全6册，赠送作者新写3万字番外+6大著...",27424,"流潋紫　著","2012-01-01","浙江文艺出版社","￥126.00","￥168.00","7.5折","青春文学","　　“后宫**人”流潋紫悉心修订，全集回归！后宫小说**之作！残酷与温情，绝望与机谋，缠绵纠葛，演绎人生无限转圜之间的华丽哀伤。全集6册，全新修订，流潋紫**推荐版本！新鲜创意的30000字番外新作，回馈粉丝真诚期待。,　　典藏套装，华美设计，漫画大家陈柏言手绘版孙俪，竞美“电视剧”版甄，附赠阮筠庭、唐卡、呀呀等知名漫画家手绘2012年精美插图版年历，物超所值。外封用纸：水波拉丝纹；内封：精美白卡纸；插页：法国透明描图纸；内文：细腻双胶纸。以繁复之工艺，呈现不一样的华美。,　　读书不忘公益，我们与读者一起",2012
"165",165,"那些回不去的年少时光",22078,"桐华　著","2010-01-01","江苏文艺出版社","￥16.40","￥23.80","6.9折","青春文学","1）《那些回不去的年少时光》是桐华耗时五年倾心打造的精华之作,　　著名青春言情作家桐华，曾引领穿越言情小说潮流，《步步惊心》和《大漠遥》都创造了一个类型小说的销售高潮，也形成了一个固定而忠实的粉丝群。《那些回不去的年少时光》部分章节在作者blog上放出后，引发了一次催稿高潮，读者纷纷要求看全稿，她们为文中人物悲喜感叹，她们写书评，给作者留言，只希望作者能尽快写完，给大家一个期盼已久的结局。,　　历时五年，桐华终于完成了这部集合了许多人希望的佳作！,　　2）《那些回不去的年少时光》是一代人的怀旧读物,　　本",2012
"166",166,"莫言作品系列--红高粱家族（新版）（2012年度诺贝尔文学奖获得者...",8927,"莫言　著","2012-10-01","上海文艺出版社","￥27.60","￥35.00","7.9折","小说","　　2012年诺贝尔文学奖授奖词：,　,　　·莫言是个诗人，他扯下程式化的宣传画，使个人从茫茫无名大众中突出出来。他用嘲笑和讽刺的笔触，攻击历史和谬误以及贫乏和政治虚伪。他有技巧的揭露了人类*阴暗的页面，在不经意间给象征赋予了形象。,　　·莫言有着无与伦比的想象力。他很好的描绘了自然；他基本知晓所有与饥饿相关的事情；他向我们展示了一个没有真理、常识或者同情的世界，这个世界中的人鲁莽、无助且可笑。,　　·莫言的故事有着神秘和寓意，让所有的价值观得到体现。莫言的人物充满活力，他们甚至用不道德的办法和手段实现他",2012
"167",167,"金字塔原理 麦肯锡40年经典培训教材",34224,"(美)明托 著，汪洱，高愉 译","2010-08-01","南海出版社","￥26.20","￥38.00","6.9折","管理","点击够买：**版,《金字塔原理：麦肯锡40年经典培训教材》,点击购买：**版《金字塔原理2》,《金字塔原理》介绍了一种处理写作中逻辑不清晰问题的有效方法，能够教会人们如何在有限时间里，有效与人沟通，如何简明扼要地进行写作。采用金字塔方法，能避免逻辑混乱或不清晰。,本书作者芭芭拉·明托，是麦肯锡公司有史以来的**位女性咨询顾问。她在写作方面的优势很快得到麦肯锡高层的赏识，负责提高麦肯锡公司员工的写作能力，致力于探索条理清晰的文章所必需的思维结构。本书在1973年首次出版，当即引起轰动，畅销欧美市场近40年不",2012
"168",168,"此生未完成：一个母亲、妻子、女儿的生命日记",48275,"于娟　著","2011-06-01","湖南科技出版社","￥13.00","￥26.00","5.0折","文学","　　,★,与命运抗争，积极乐观的人生态度。,　　于娟语录：“我相信，我会成为奇迹。”、“无所谓病痛，人没有不能承受的痛苦，还活着，我就已经很知足了。”、“活着就是王道”。,　　★,健康、幸福的生活观念，于娟通过反省自己的不良生活习惯，告诫读者特别是年轻人不要任意挥霍健康，任意挥霍幸福，要感恩生活，善待生命。,　　于娟语录：“买车买房买不来健康”、“长期熬夜等于慢性自杀”。,　　★,正确的生命教育（死亡教育）观。死亡教育在西方许多国家非常重视，一些大学开设有专门的死亡教育课程，国内对这一话题较为敏感。于娟呼",2012
"169",169,"有一天，妈妈老了：不是谁都有机会说：妈妈，我还会再来看你的",14019,"(韩)洪荣女，(韩)黄安娜 著，邢心秀 译","2012-05-01","新星出版社","￥25.30","￥26.00","9.7折","文学","　　如果有一天，当他们站不站不稳，走也走不动的时候,　　请你紧紧握住他们的手,　　陪他们慢慢地走……,　　就像……就像……,　　就像当年他们牵着你一样……,　　这是一个在韩国家喻户晓感动亿万读者的亲情故事,　　70多岁的母亲，开始学认字写字；,　　20多年的笔耕不辍，悄悄书写家庭往事；,　　90多岁高龄离世，留下十几本沉重的日记本。,　　记载的，仅仅是生活？,　　你可知道——妈妈心里的秘密！,　　不是谁都**会说：妈妈，我还会再来看你的,　　2012感恩季，引爆爱的催泪核弹。",2012
"170",170,"我来贴（1-3岁，共6册）",53941,"(比)博伊斯纳德 著，曾候花 译","2014-01-12","新世界出版社","￥38.00","￥49.80","7.6折","童书","　阅读中游戏，游戏中益智,——益智游戏馆>>,这是一套专为1-3岁宝宝设计的贴纸故事书。,鲜艳的图画帮助孩子认知颜色和形状。,有趣的问题，引导孩子学习数字和对比，揭示事物之间的变化和联系。,精美的贴纸，吸引灵巧的小手指去做游戏。",2012
"171",171,"幻城",59164,"郭敬明 著","2008-04-01","长江文艺出版社","￥11.50","￥23.00","5.0折","青春文学","2008年全新内容修订版本，两百万畅销**荣耀再版，全新收录郭敬明回顾心情实录《冰雪王爵与末世苍雪。及篇章精美文案，知名插画家，年年、跨刀手绘，adam.X美术执行。,点击免费阅读更多章节：幻城（新版）",2012
"172",172,"淡定：内心强大的力量（畅销珍藏版）",43656,"(美)戴尔卡耐基　著，马剑涛，肖文键　编译","2012-02-01","中国华侨出版社","￥12.50","￥32.00","3.9折","成功/励志","★《淡定：内心强大的力量》一部都市人心灵拯救手册，什么是淡定？淡定就是你对名利荣辱的淡然，就是你对爱恨情仇的超脱，就是你对世态人情的看破。喧嚣终归于落寞，灿烂总是会平淡。心怀淡定之心的人，必将是*坦然、平和、洒脱的人！,★保持淡定，从此人生不再寂寞；保持淡定，从此找到一份心灵的沃土；保持淡定，灵魂从此不再迷惘。",2012
"173",173,"遇见心想事成的自己（《遇见未知的自己》作者 张德芬 又一本精彩...",26592,"张德芬 著","2008-06-01","上海锦绣文章出版社","￥8.40","￥29.00","2.9折","成功/励志","华语世界**位身心灵小说家张德芬,　　继《遇见未知的自己》后，又一本精采绝伦的身心灵小说！,　　以一场人生的追寻之旅，讲述实现愿望和目标*强有力的“吸引力法则”！,　　并揭示法则背后的陷阱和秘密！,　　随书附赠,内地独家《心想事成三十天实践手册》,　　《遇见心想事成的自己》是一部优美、贴心、实用的身心灵作品。尽管小说故事背景设置在一个不存在的时代和王国，但主人公阿南的追寻之旅却代表着现代人在心路上求索的普遍经历。作者讲述了一个佛陀般追寻证悟和解脱的动人故事，并带出对现代都市人大有帮助而且可行的心灵修炼方法",2012
"174",174,"我不是潘金莲（刘震云获茅奖后推出《一句顶一万句》姊妹篇，与社...",18877,"刘震云 著","2012-08-01","长江文艺出版社","￥25.30","￥29.80","8.5折","小说","　　当大多数中国作家还在与历史和灵魂对话时，刘震云坚持与时代对话，与人民对话，与国家对话。,　　本书是刘震云**部以女性为主角的小说，无腰封的裸书充分展现了内容品质的自信。,　　虽然书中写了国策，写了官场与小民，但刘震云称：这并不是一部政治小说，而是生活小说。,★推荐：“中国官场小说**人”王跃文官场小说经典力作,★推荐：“中国政治小说**人”周梅森超级畅销套装,★推荐：《李逵日记2之忠义堂》——中国**智慧的官场原生态刻画小说",2012
"175",175,"贝贝熊系列丛书·第1辑（英汉对照）（共30册)",47017,"(美)斯坦·博丹(Stan Berenstain)，(美)简·博丹(Jan Berenstain) 绘著，张德启 等译","2004-01-01","新疆青少年出版社","￥132.60","￥204.00","6.5折","","",2012
"176",176,"天才在左疯子在右",274973,"高铭　著","2012-06-01","武汉大学出版社","￥17.90","￥29.80","6.0折","","",2012
"177",177,"大漠谣·新版",33967,"桐华 著","2012-03-01","湖南文艺出版社","￥29.00","￥48.00","6.0折","青春文学","　　桐华经典古言作品全新修订版本。,　　狼烟阵阵起边疆，马踏匈奴汉风扬。,　　盛世的耀眼光芒，一代名将的绝世风采，一段不悔相思的爱情传奇，给你留下*刻骨铭心的记忆。",2012
"178",178,"高手过招——酬唐小舟未尽之志，续《二号首长》慷慨悲歌!承接《二...",14305,"黄晓阳　著","2012-02-01","新世界出版社","￥28.70","￥39.80","7.2折","","",2012
"179",179,"侯卫东官场笔记8（越往上走，越要讲政治！逐层讲透村、镇、县、市...",24051,"小桥老树 著","2011-12-01","凤凰出版社","￥15.00","￥29.90","5.0折","小说","读客·知识小说文库：红顶商人胡雪岩·珍藏版大全集,读客·知识小说文库：侯卫东官场笔记1-8（有史以来全国总销量**的官场小说！）,　,★读小说，学知识，锁定读客知识小说文库。,★《侯卫东官场笔记8》：越往上走，越要讲政治！,　　“讲政治”的微妙，越往上走，体会越深，越要反复体会，反反复复地体会；只可意会，不可言传。,　　★即使你没有读过《侯卫东官场笔记1》《侯卫东官场笔记2》《侯卫东官场笔记3》《侯卫东官场笔记4》《侯卫东官场笔记5》《侯卫东官场笔记6》和《侯卫东官场笔记7》，依然不影响你直接读《侯卫东官",2012
"180",180,"活了100万次的猫（精装）",116201,"(日)佐野洋子 著，唐亚明 译","2004-10-01","接力出版社","￥16.00","￥28.00","5.7折","童书","推荐：佐野洋子另一关于猫的经典寓言《我可是猫啊》,2005年日本学校图书馆协议会第23次“好图画书”奖，日本学校图书馆协议会选定图书，日本中央儿童福祉审议会推荐图书，累计销量150万册。,留驻童年，收藏成长——精装图画书馆>>",2012
"181",181,"三生三世 十里桃花 再版（畅销作家唐七公子成名之作 ！一场旷世...",16869,"唐七公子 著","2011-12-01","百花洲文艺出版社","￥19.30","￥26.80","7.2折","青春文学","　　畅销作家唐七公子成名之作,！一场旷世绮丽凡仙恋！！三生三世,十里桃花,新版！！！,　　一个醉卧十里桃林忘尽前尘。,　　一个情深不渝枯等成灰。,　　三生爱恨,三世纠葛。",2012
"182",182,"找回迷失的自己——拯救伪快乐的人生（这是一本让你相见恨晚的书...",49370,"程志良　著","2011-01-01","机械工业出版社","￥18.00","￥26.00","6.9折","成功/励志","相关推荐：,进入成人世界的9个密码（为什么30年来的高考状元没有一个成为杰出的企业家、官员和学者？送给孩子*好的成人礼就是告诉他成人世界的游戏规则）,21天掌握当众讲话诀窍（敬一丹、白岩松、王石、俞敏洪推荐！金话筒奖得主汇聚三十年工作经验）,你可以看透任何人（畅销书《看谁在说谎》作者再推力作，在任何时候，你都可以利用它对一个人的想法和感受作出快速的判断。）,你被困在了哪里？你又被什么所蒙蔽？,如果你现在感觉很快乐，那么这本书会使你认识到，你是不是真正的快乐；,如果你知道自己想要什么，那么这本书将使你看清楚",2012
"183",183,"活着就在找感觉——人要的不是事实而是感觉（在遇见未知的自己之...",21052,"程志良　著","2012-08-01","金城出版社","￥24.10","￥32.80","7.3折","成功/励志","你搞不定你的爱情吗？,　　你搞不定你的客户吗？,　　你搞不定你的孩子吗？,　　你搞不定你的员工吗？,　　因为你不知道别人想要什么样的感觉。,　　你搞不定你的梦想吗？,　　你搞不定你的心情吗？,　　你搞不定你的工作吗？,　　你搞不定你的生活吗？,　　因为你不知道自己想要什么样的感觉。,　　★,当别人知道你在找什么感觉时，你就完蛋了。,　　★,当你知道别人在找什么感觉时，你就成功了。,　　★,无论你信与不信，你的感觉都在决定着你的一切！,　　★我们一直以来都在寻求获得成功和有效影响他人的方法，但是直到今天也还",2012
